CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,PRIM_CONTRIBUTORY_CAUSE,NUM_UNITS,CRASH_MONTH,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE
07/25/2024 04:10:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,IMPROPER LANE USAGE,2,7,NO INDICATION OF INJURY,0,0,4,5,41.7929943849,-87.7418060289
06/06/2025 02:00:00 PM,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,6,NO INDICATION OF INJURY,0,0,14,6,41.9869634776,-87.660318021
09/22/2023 01:30:00 PM,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,9,NO INDICATION OF INJURY,0,0,13,6,41.9473741186,-87.6531805895
01/27/2026 05:45:00 AM,30,BLOWING SNOW,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,SNOW OR SLUSH,INJURY AND / OR TOW DUE TO CRASH,CELL PHONE USE OTHER THAN TEXTING,2,1,NONINCAPACITATING INJURY,1,0,5,3,41.7719011562,-87.6954210902
08/01/2023 07:30:00 PM,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,FOLLOWING TOO CLOSELY,2,8,NO INDICATION OF INJURY,0,0,19,3,41.8055910215,-87.7037593759
02/12/2026 07:55:00 AM,30,CLEAR,DAYLIGHT,TURNING,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,2,NO INDICATION OF INJURY,0,0,7,5,41.9100682454,-87.7459654371
01/31/2021 05:00:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,SNOW OR SLUSH,NO INJURY / DRIVE AWAY,WEATHER,2,1,NO INDICATION OF INJURY,0,0,17,1,41.9800894228,-87.8376361391
01/05/2024 04:45:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,IMPROPER LANE USAGE,2,1,NO INDICATION OF INJURY,0,0,16,6,41.7920577857,-87.800977283
05/05/2024 02:10:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,IMPROPER TURNING/NO SIGNAL,2,5,"REPORTED, NOT EVIDENT",1,0,2,1,41.8730360062,-87.7448686405
12/29/2024 01:52:00 PM,30,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,12,NO INDICATION OF INJURY,0,0,13,1,41.9591156308,-87.6690386884
11/13/2021 06:30:00 PM,35,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,NOT APPLICABLE,2,11,NO INDICATION OF INJURY,0,0,18,7,41.8768502259,-87.7452938914
11/14/2022 03:15:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,IMPROPER TURNING/NO SIGNAL,2,11,NO INDICATION OF INJURY,0,0,15,2,41.8726964664,-87.6716677021
